Date,Original Title,Outlet,Format,Link,Highlight,Author,Excerpt
12/12/12,Citizen Coupon,Dissent,Article,https://www.dissentmagazine.org/online_articles/citizen-coupon,,Mike Konczal,"Conservatives and neoliberals envision a government that provides a comparable range of benefits to the one advocated by earlier American liberals. But rather than designing and delivering services directly, the neoliberal government provides coupons for citizens."
12/18/12,Boehner comes up with ÔPlan B' in fiscal cliff talks,Washington Post,Quote,https://www.washingtonpost.com/business/fiscal-cliff/boehner-comes-up-with-plan-b-in-fiscal-cliff-talks/2012/12/18/97c7ff88-4945-11e2-ad54-580638ede391_story.html,,NA,NA
12/19/12,Obama's fiscal offer gives his party pause,Boston Globe,Quote,https://www.bostonglobe.com/news/politics/2012/12/19/president-obama-proposed-compromise-social-security-escalator-tough-sell-democrats/wrXROZmHQ6TiOxd4mDGu6N/story.html,,NA,NA
1/18/13,After 'the end of big government liberalism',Washington Post,Quote,https://www.washingtonpost.com/news/wonk/wp/2013/01/18/after-the-end-of-big-government-liberalism/,,NA,NA
2/17/13,Drowning in Debt - Students Fighting Austerity Conference,Young Democratic Socialists,Panel,https://www.youtube.com/watch?v=CxIoXkilGJU,,NA,"Drowning in Debt: They Say ""Cut Back"" We Say ""Fight Back"""
2/20/13,Why Degree Inflation Hits Women Workers Hardest,Bloomberg,Quote,https://www.bloomberg.com/news/articles/2013-02-20/why-degree-inflation-hits-women-workers-hardest#xj4y7vzkg,,Sheelah Kolhatkar,NA
3/20/13,"Sequester, to some economists, is no sweat",Washington Post,Quote,https://www.washingtonpost.com/business/economy/sequester-to-some-economists-is-no-sweat/2013/03/20/8e703a94-8d89-11e2-9f54-f3fdd70acad2_story.html,,NA,NA
4/11/13,Dodd-Frank Reforms Get Roughed Up in Court,Bloomberg Law,TV,https://www.youtube.com/watch?v=rOE_8gVZoqc,,NA,"Mike Konczal, fellow at the Roosevelt Institute and contributor to Bloomberg View, talks with Bloomberg Law's Lee Pacchia about how the implementation of the financial reform laws in Dodd-Frank have been hampered by a series of adverse court decisions."
4/24/13,Paul Ryan's austerity agenda is based on serious mistake,Capital Times,Quote,https://captimes.com/news/opinion/column/john_nichols/john-nichols-paul-ryans-austerity-agenda-is-based-on-serious-mistake/article_e951e7d9-71e3-55e9-97b1-22ed6ac79cfe.html,,NA,NA
7/29/13,"Bernanke did well, but the Fed must do better",Financial Times,Article,https://www.ft.com/content/a5d610e6-f83c-11e2-b4c4-00144feabdc0,,NA,NA
8/15/13,HuffPo Octagon: 3 on 1 Battle Over Inflation,Huffpo Live,TV,https://www.youtube.com/watch?v=6N1Nuy7o9Ig,,NA,"Debate with Peter Schiff on inflation, hosted by James Poulos."
8/20/13,Doing things together doesn't mean a big-government program,Washington Examiner,Quote,https://www.washingtonexaminer.com/doing-things-together-doesnt-mean-a-big-government-program,,NA,NA
11/4/13,Capital Requirements: Hitting Six Birds With One Stone,Americans for Financial Reform/Roosevelt Institute,White Paper,https://5000ff5f-c81e-4025-9f29-a8526ec49666.usrfiles.com/ugd/5000ff_d2d1ebec20fc466c94f319d3014ce00a.pdf,,NA,"The proper regulation of capital requirements has the ability to hit six different financial reform birds, all with one stone."
11/12/13,Progressive Groups Call for Further Financial Reform,American Banker,Quote,https://www.americanbanker.com/news/progressive-groups-call-for-further-financial-reform,,NA,NA
11/26/13,How to Waste a Crisis,The New Inquiry,Book Review,https://thenewinquiry.com/how-to-waste-a-crisis/,,Mike Konczal,Never Let a Serious Crisis Go to Waste (Philip Mirowski)
1/10/14,Obama Leaves Key Spot Vacant Amid New Fed Nominations,American Banker,Quote,https://www.americanbanker.com/news/obama-leaves-key-spot-vacant-amid-new-fed-nominations,,NA,NA
2/8/14,Sex workersâ€™ rights are just workersâ€™ rights,Washington Post,Book Review,https://www.washingtonpost.com/news/wonk/wp/2014/02/08/sex-workers-rights-are-just-workers-rights/,,Mike Konczal,Playing the Whore: The Work of Sex Work (Melissa Gira Grant)
2/20/14,An Aggressive Fed Faces Criticism on Wall Street,New York Times - Dealbook,Quote,https://archive.nytimes.com/dealbook.nytimes.com/2014/02/20/an-aggressive-fed-finds-critics-on-wall-street/,,NA,NA
2/25/14,The Case for Debt Refusal,OR Books,Panel,https://www.youtube.com/watch?v=y_IeSYEKG5g,,NA,"OR author, NYU professor and Strike Debt activist, Andrew Ross discussed debt refusal with Sarah Jaffe, George Caffentzis, Sarah Ludwig, Pamela Brown and Mike Konczal on Wednesday, February 19 at Brecht Forum."
3/1/14,The Voluntarism Fantasy,Democracy Journal,Article,https://democracyjournal.org/magazine/32/the-voluntarism-fantasy/?page=all,,Mike Konczal,"Conservatives dream of returning to a world where private charity fulfilled all public needs. But that world never existed, and weâ€™re better for it."
3/3/14,7 Bipartisan Reasons to Raise the Minimum Wage,Boston Review,Article,http://bostonreview.net/us/mike-konczal-seven-reasons-raise-minimum-wage,,Mike Konczal,"There are at least seven reasons voters, if not politicians, in both parties favor a higher minimum wage. They involve concerns about inequality and poverty, about responses to poor wage growth, and about the status of work as well as community."
3/13/14,Generational Theft,Stossel,TV,https://www.youtube.com/watch?v=ZbhnehSBBeo,,NA,"Jonathan Bydlak, President of Coalition to Reduce Spending and Mike Konczal from the Roosevelt Institute discuss whether it is in the interest of future generations to spend more or less."
3/30/14,Private charity can't replace government social programs,Los Angeles Times,Quote,https://www.latimes.com/business/la-xpm-2014-mar-30-la-fi-hiltzik-20140330-story.html,,NA,NA
4/29/14,Studying the Rich,Boston Review,Book Review,http://bostonreview.net/books-ideas/mike-konczal-thomas-piketty-capital-studying-rich,,Mike Konczal,Capital in the Twenty-First Century (Thomas Piketty)
5/1/14,We Read Seven Thomas Piketty Think-Pieces For You,Brian Lehrer Show,Podcast,https://www.wnyc.org/story/your-guide-thomas-piketty-guides,,NA,"Seemingly everyone has an opinion about French economist Thomas Piketty and his new book describing the rise of inequality. Mike Konczal, a fellow at the Roosevelt Institute who blogs about economics at Rortybomb, reviews the think-pieces and offers his own take."
7/1/14,The Reformicons,Democracy Journal,Quote,https://democracyjournal.org/magazine/33/the-reformicons/,,NA,NA
7/2/14,The Future of Finance: Shifting Power and Wealth from Wall Street to Main Street,Philanthropy New York,Panel,https://www.youtube.com/watch?v=HbGnRQB_i1U,,NA,"This session is part of our program series ""Can Philanthropy Help Shape the Next Economy? A Workshop Series for a Just Transition."""
7/25/14,Some GOP prospects not toeing hard line,Washington Post,Quote,https://www.proquest.com/docview/1548156676,,NA,NA
8/7/14,Four Takeaways from Banks' Terrible Living Will Report Cards,American Banker,Quote,https://www.americanbanker.com/news/four-takeaways-from-banks-terrible-living-will-report-cards,,NA,NA
9/13/14,A Tea Party of the Left?,Buffalo News,Quote,https://buffalonews.com/news/local/govt-and-politics/a-tea-party-of-the-left-it-s-nowhere-to-be-seen/article_2362b6ff-ebc9-5b24-be3f-801e64f95cd8.html,,NA,NA
11/10/14,Selling Fast,Boston Review,Book Review,http://bostonreview.net/books-ideas/mike-konczal-profits-state-legitimacy-parrillo-goldstein-balko,,Mike Konczal,"Against the Profit Motive: The Salary Revolution in American Government, 1780â€“1940 (Nicholas R. Parrillo); The Teacher Wars: A History of Americaâ€™s Most Embattled Profession (Dana Goldstein); Rise of the Warrior Cop: The Militarization of Americaâ€™s Police Forces (Radley Balko)"
12/1/14,Frenzied Financialization,Washington Monthly,Article,https://washingtonmonthly.com/magazine/novdec-2014/frenzied-financialization/,,Mike Konczal,"If you want to know what happened to economic equality in this country, one word will explain a lot of it: financialization.Â "
1/8/15,Mike Konczal and David Beito Debate Charity vs. Government,Stossel,TV,https://www.youtube.com/watch?v=7CodNsoyRSU,,NA,"Mike Konczal, Research Fellow at the Roosevelt Institute, and David Beito, Research Fellow at The Independent Institute and History Professor at the University of Alabama, discuss private charity versus government on Stossel."
3/1/15,Liberal Punishment,Dissent,Book Review,https://www.dissentmagazine.org/article/liberal-punishment-review-naomi-murakawa-first-civil-right,,Mike Konczal,The First Civil Right: How Liberals Built Prison America (Naomi Murakawa)
4/29/15,Ben Bernanke scores another Wall Street payday,Washington Post,Quote,https://www.washingtonpost.com/news/wonk/wp/2015/04/29/ben-bernanke-scores-another-wall-street-payday/,,NA,NA
5/12/15,"Rewriting the Rules of the American Economy (with Joseph Stiglitz, Nell Abernathy, Adam Hersh, Susan Holmberg)",Roosevelt Institute,White Paper,https://rooseveltinstitute.org/publications/rewriting-the-rules-of-the-american-economy/,,NA,"The conclusion is clear: piecemeal policy change will not do. To improve economic performance and create shared prosperity, we must rewrite the rules of our economy."
5/27/15,You've met Hillarynomics. Now meet left-of-Hillarynomics.,Vox,Quote,https://www.vox.com/2015/5/27/8670749/stiglitz-report-rent-seeking,,NA,"In other words, Stiglitz, Abernathy, Hersh, Holmberg, and Konczal have found a way to rearticulate left-of-center economic policies as more than just attempts to even out the income distribution or expand the safety net for its own sake."
5/28/15,Whatâ€™s Left After Higher Education Is Dismantled,Rolling Stone,Article,https://www.rollingstone.com/politics/politics-news/whats-left-after-higher-education-is-dismantled-175236/,,Mike Konczal,"But they tell a similar story: Thereâ€™s no set of institutions capable of or interested in providing quality, affordable higher education for a large population outside public schools.Â "
7/21/15,Dodd-Frank turns 5 today â€” it's Obama's most underappreciated achievement,Vox,Article,https://www.vox.com/2015/7/21/9004155/dodd-frank-explainer,,Mike Konczal,"Dodd-Frank was part of an international, clear plan to reform the most obvious financial sector flaws that contributed to the crisis. Results, though often stalled, are overall positive and substantial â€” and in each case there's a clear path forward building on the bill."
7/27/15,Defining Financialization,Roosevelt Institute,White Paper,https://rooseveltinstitute.org/publications/defining-financialization/,,NA,Defining Financialization by Roosevelt Fellow Mike Konczal and Director of Programs Nell Abernathy aims to establish a solid definition of financialization that can serve as the foundation for future research and advocacy.
9/1/15,Generation Debt,Dissent,Article,https://www.dissentmagazine.org/article/mike-konczal-generation-debt-free-college-argument,,Mike Konczal,"Education is a human right. Anyone willing and able should be able to attend an institution of higher education irrespective of their ability to pay for it. (Arguments on the Left series, contending with Matt Bruenig and Tressie McMillan Cottom.)"
9/21/15,Hail to the Pencil Pusher,Boston Review,Book Review,http://bostonreview.net/books-ideas/mike-konczal-government-bureaucracy,,Mike Konczal,"Creating The Administrative Constitution: The Lost One Hundred Years of American Administrative Law (Jerry Mashaw); Tocquevilleâ€™s Nightmare: The Administrative State Emerges in America, 1900â€“1940 (Daniel Ernst); A Republic of Statutes: The New American Constitution (William N. Eskridge Jr. and John Ferejohn); The Workplace Constitution from the New Deal to the New Right (Sophia Z. Lee)"
10/20/15,"Bernie Sanders, Democratic Socialist Capitalist",New York Times,Quote,https://www.nytimes.com/2015/10/20/upshot/bernie-sanders-democratic-socialist-capitalist.html,,NA,NA
11/3/15,The Blue Dogs' pitiful last whimper,Washington Post,Quote,https://www.washingtonpost.com/opinions/the-blug-dogs-pitiful-last-whimper/2015/11/03/b894ba74-826f-11e5-9afb-0c971f713d0c_story.html,,NA,NA
11/25/15,What liberals get wrong when they only focus on breaking up the big banks,Washington Post,Quote,https://www.washingtonpost.com/news/wonk/wp/2015/11/25/what-liberals-get-wrong-when-they-only-focus-on-breaking-up-the-big-banks/,,NA,NA
12/22/15,Fed's New Capital Plan Stokes Skepticism,American Banker,Quote,https://www.americanbanker.com/news/feds-new-capital-plan-stokes-skepticism,,NA,NA
12/25/15,8 Thoughts on Bernie Sandersâ€™s Democratic Socialism and the Primary,Dissent,Article,https://www.dissentmagazine.org/blog/8-thoughts-on-bernie-sanderss-democratic-socialism-and-the-primary,,Mike Konczal,"Bernie Sanders gave a majorÂ speechÂ last week outlining his definition ofÂ democratic socialismÂ and how it relates to both his candidacy and American history. In doing so, he also put forth an expansive vision of economic security and fairness."
4/6/16,Bernie Sanders Outlines Plan to Pare Down Big Banks,Wall Street Journal,Quote,https://www.wsj.com/articles/bernie-sanders-outlines-plan-to-pare-down-big-banks-1459981915,,NA,NA
5/23/16,Karl Polanyi for President,Dissent,Article,https://www.dissentmagazine.org/online_articles/karl-polanyi-explainer-great-transformation-bernie-sanders,,Mike Konczal,"Whether they realize it or not, millions of Bernie Sanders supporters across the country have embraced a version of socialism developed by political economist Karl Polanyi in his 1944 classic,Â The Great Transformation."
6/1/16,The Violence of Eviction,Dissent,Book Review,https://www.dissentmagazine.org/article/the-violence-of-eviction-housing-market-foreclosure-gentrification-finance-capital,,Mike Konczal,Evicted: Poverty and Profit in the American City (Matthew Desmond); Chain of Title: How Three Ordinary Americans Uncovered Wall Streetâ€™s Great Foreclosure Fraud  (David Dayen)
6/6/16,"Untamed: How to Check Corporate, Financial, and Monopoly Power (with Nell Abernathy and Katy Milani)",Roosevelt Institute,White Paper,https://rooseveltinstitute.org/publications/untamed-corporate-financial-monopoly-power/,,NA,Outlines a policy agenda designed to rewrite the rules that shape the corporate and financial sectors and improve implementation and enforcement of existing regulations.
7/18/16,The Forgotten State,Boston Review,Book Review,http://bostonreview.net/books-ideas/mike-konczal-yuval-levin-fractured-republic-jacob-hacker-paul-pierson-american-amnesia,,Mike Konczal,The Fractured Republic: Renewing Americaâ€™s Social Contract in the Age of Individualism (Yuval Levin); American Amnesia: How the War on Government Led Us to Forget What Made America Prosper (Jacob S. Hacker and Paul Pierson)
7/21/16,Demand-Side Business Dynamism (with Marshall Steinbaum),Roosevelt Institute,White Paper,https://rooseveltforward.org/2016/07/21/new-paper-demand-side-business-dynamism/,,NA,"The erosion in labor mobility and entrepreneurship since 2000 can be more accurately explained by weak demand, especially during the slow recovery from the two previous recessions. These economic trends, in turn, should be investigated and understood through a lens of power shifting in favor of the owners and managers of incumbent firms alongside rising profits and inter-firm inequality."
7/21/16,What if There Just Aren't Enough Jobs to Go Around?,Wall Street Journal,Quote,https://www.wsj.com/articles/BL-REB-36200,,NA,NA
7/28/16,A hire power,The Economist,Quote,https://www.economist.com/finance-and-economics/2016/07/28/a-hire-power,,NA,NA
8/2/16,"Clinton? Trump? Either Way, Count on Deficit Spending to Rise",New York Times,Quote,https://www.nytimes.com/2016/08/01/business/economy/clinton-trump-either-way-count-on-deficit-spending-to-rise.html,,NA,NA
8/11/16,"Bernie spends $575,000 on vacation home: Can socialists do that?",The Christian Science Monitor,Quote,https://www.csmonitor.com/USA/Politics/2016/0811/Bernie-spends-575-000-on-vacation-home-Can-socialists-do-that,,NA,NA
8/12/16,Introducing the new sheriff of Wall Street,Financial Times,Quote,https://www.ft.com/content/700c2a12-6072-11e6-b38c-7b39cbb1138a,,NA,NA
9/15/16,"The ""new liberal economics"" is the key to understanding Hillary Clinton's policies",Vox,Article,https://www.vox.com/the-big-idea/2016/9/15/12923528/liberal-economics-great-recession-policy-clinton,,Mike Konczal,"The Great Recession and its aftermath shattered the policy consensus on economics. What would come next? Itâ€™s taken a while, but weâ€™re witnessing the emergence of an important new vision."
9/22/16,Is California's $15 Minimum Wage Law a Good Idea?,"USD Center for Ethics, Economics, and Public Policy",Panel,https://www.youtube.com/watch?v=8ruXbr5-IWY,,NA,California has passed a law that will raise the state's minimum wage to $15/hr by 2022. Does this law make economic sense? Is it a sound policy in pursuit of social justice?
12/4/16,"Vowing to Squeeze Businesses, Trump Has Tactics Challenged",New York Times,Quote,https://www.nytimes.com/2016/12/04/us/politics/trump-takes-twitter-aim-at-companies-looking-to-move-jobs-abroad.html,,NA,NA
1/19/17,The Austerity of the Obama Years,Dissent,Article,https://www.dissentmagazine.org/online_articles/austerity-obama-years,,Mike Konczal,"Austerity, both as a practice and as a metaphor, defined the landscape, culture, and politics of the Obama era."
2/17/17,Taking Trump to School,Talk Poverty,Podcast,https://talkpoverty.org/podcast/taking-trump-school/,,NA,"Lastly, Mike Konczal of the Roosevelt Institute joins to unpack Trumpâ€™s war on consumer financial protections."
3/29/17,"ÔCarnage' Indeed, but Trump's Policies Would Make It Worse",New York Times,Quote,https://www.nytimes.com/2017/03/28/business/economy/trump-white-working-class-carnage.html,,NA,NA
4/3/17,GOP Financial Deregulatory Goals Run Counter to Financial Stability,Wall Street Journal,Quote,https://www.wsj.com/articles/gop-financial-deregulatory-goals-run-counter-to-financial-stability-1491325685?tpl=financialregulation,,NA,NA
4/5/17,"Tarullo Opens Door to Changes in Stress Tests, Volcker Rule",Wall Street Journal,Quote,https://www.wsj.com/articles/tarullo-opens-door-to-changes-in-stress-tests-volcker-rule-dimon-pushes-for-simpler-bank-regulations-feds-lacker-steps-down-over-role-in-2012-leak-ex-sec-official-luparello-joining-citadel-michaelss-take-secs-revolving-door-would-benefit-from-more-disclosure-1491392441,,NA,NA
8/30/17,"Well-off â€śhelicopterâ€ť parents are super annoying, but they didnâ€™t create economic inequality",Vox,Book Review,https://www.vox.com/the-big-idea/2017/8/30/16224112/reeves-hoarders-dream-economic-inequality-book-review,,Mike Konczal,Dream Hoarders (Richard Reeves)
11/16/17,Republicans are weaponizing the tax code,Vox,Article,https://www.vox.com/the-big-idea/2017/11/16/16665604/republicans-tax-reform-labor-capital-wages,,Mike Konczal,"Theyâ€™re rewarding capital, punishing labor â€” and dismantling the tax code welfare state."
11/30/17,A New Direction for the Federal Reserve: Expanding the Monetary Policy Toolkit,Roosevelt Institute,White Paper,https://rooseveltinstitute.org/publications/federal-reserve-expanding-monetary-policy-toolkit/,,NA,"In the new report, the authors argue that it is essential for the Fed to further expand its scope and develop an even broader monetary policy toolkit than was employed during the Great Recession. They suggest six approaches they believe the Federal Reserveâ€”and Congressâ€”should adopt."
12/1/17,How the GOP is weaponizing the tax code,The Weeds,Podcast,https://www.stitcher.com/podcast/voxs-the-weeds/e/52422516,,NA,"Matt, Dara Lind, and Vox contributor Mike Konczal talk tax reform and Democrats' sexual harassment problem."
12/2/17,Why offbeat policies could spearhead future recession battles,Financial Times,Quote,https://www.ft.com/content/1e71fe30-d66d-11e7-a303-9060cb1e5f44,,NA,NA
1/22/18,How Ideology Works,Dissent,Article,https://www.dissentmagazine.org/blog/neoliberalism-forum-mike-konczal,,Mike Konczal,"Any successful political project binds together ideas, actors, and power. â€śNeoliberalismâ€ť helps us understand how these fit together."
2/7/18,What Democrats can learn from the Democratic Socialists about rebuilding the left,Vox,Article,https://www.vox.com/the-big-idea/2017/12/20/16798026/rebuild-left-democratic-party-democratic-socialists-tenant-rights,,Mike Konczal,"It was one of the two weekly canvassing meetings for the new Stomp Out Slumlords campaign (SOS), which encourages people facing eviction to get their day in court."
2/12/18,Mike Konczal on Expanding the Fedâ€™s Monetary Toolkit,Macro Musings,Podcast,https://www.mercatus.org/podcasts/02122018/macro-musings-94-mike-konczal-expanding-fed%E2%80%99s-monetary-toolkit,,NA,"Today, Mike joins the show to discuss the progress of financial regulation, the Federal Reserveâ€™s performance over the past decade, and new tools the Fed could utilize to better stabilize the economy in the present and future."
